RA[deg],DEC[deg],Reff[arcsec],PetroMag_i,CLASS,z
194.81792,28.27722,2.6,19.389999389648438,1,0.021
194.81875,28.67722,1.5,17.91227912902832,1,0.021
194.82083,27.86083,1.9,18.655000686645508,1,0.021
194.82292,28.25083,1.2,17.956398010253906,1,0.021
194.82375,27.94028,1.8,17.841432571411133,1,0.021
194.82583,28.35,1.7,25.0,1,0.021
194.82583,28.43222,1.4,17.50132942199707,1,0.021
194.8275,28.28222,3.0,17.788049697875977,1,0.021
194.83167,27.96472,2.0,17.87187385559082,1,0.021
194.83208,28.27417,1.9,17.27741813659668,1,0.021
194.83375,28.09222,1.5,17.788049697875977,1,0.021
194.83542,27.99111,0.9,17.87187385559082,1,0.021
194.83583,28.69861,1.4,17.27741813659668,1,0.021
194.83583,28.54583,0.9,16.778749465942383,1,0.021
194.83708,28.05222,1.0,16.778749465942383,1,0.021
194.83792,27.77472,1.4,16.748130798339844,1,0.021
194.84,28.62944,1.2,16.748130798339844,1,0.021
194.84167,28.13639,2.5,18.06073760986328,1,0.021
194.8425,28.305,1.5,17.014780044555664,1,0.021
194.84292,27.905,2.2,17.821378707885742,1,0.021
194.84625,27.74556,1.8,18.018569946289062,1,0.021
194.84625,27.83556,1.2,17.57876205444336,1,0.021
194.84708,27.95278,1.8,18.255939483642578,1,0.021
194.84708,28.12861,1.4,17.45322036743164,1,0.021
194.84917,27.84472,1.7,15.94944953918457,1,0.021
194.84917,27.79111,1.6,18.193605422973633,1,0.021
194.85,27.8125,2.0,18.17185401916504,1,0.021
194.85042,27.81694,1.4,17.910839080810547,1,0.021
194.85167,27.82083,2.0,17.200000762939453,1,0.021
194.85208,28.21444,2.0,18.193605422973633,1,0.021
194.8525,28.22806,1.5,18.17185401916504,1,0.021
194.85292,27.81056,1.3,17.910839080810547,1,0.021
194.85333,27.9375,1.5,17.200000762939453,1,0.021
194.85458,28.34222,1.1,17.676916122436523,1,0.021
194.85583,27.93944,0.9,18.15479278564453,1,0.021
194.85625,28.47667,1.3,15.269816398620605,1,0.021
194.85625,28.03611,1.4,16.790863037109375,1,0.021
194.85708,28.06028,1.3,16.33528709411621,1,0.021
194.85792,28.205,1.0,18.5,1,0.021
194.85875,28.24,1.1,17.23767852783203,1,0.021
194.86083,28.28583,1.2,19.079999923706055,1,0.021
194.86125,27.98083,1.7,17.23767852783203,1,0.021
194.86125,27.82389,2.4,19.079999923706055,1,0.021
194.86208,27.86,1.4,17.170108795166016,1,0.021
194.86292,28.25222,1.9,12.140000343322754,1,0.021
194.86417,28.54056,4.3,17.69756507873535,1,0.021
194.87125,27.85667,1.2,20.600000381469727,1,0.021
194.87458,27.7175,2.4,16.856914520263672,1,0.021
194.875,28.15556,1.8,18.221519470214844,1,0.021
194.87583,27.90389,1.3,16.644590377807617,1,0.021
194.87583,28.25111,0.8,15.273557662963867,1,0.021
194.87667,27.74694,0.8,18.497671127319336,1,0.021
194.87708,27.74722,1.0,18.07918930053711,1,0.021
